,PDB_code,-logKd/Ki,refined,core,split_core,max_tanimoto_schrodinger,max_tanimoto_merck
0,3zzf,0.4,False,False,train,0.1775700934579439,0.0795454545454545
1,3gww,0.45,False,False,train,0.3442622950819672,0.2751677852348993
2,1w8l,0.49,False,False,train,0.1393442622950819,0.1171171171171171
3,3fqa,0.49,False,False,train,0.2987012987012987,0.1630434782608695
4,1zsb,0.6,False,False,train,0.1326530612244898,0.1092436974789916
5,6h9v,0.66,False,False,train,0.044776119402985,0.0661157024793388
6,4obv,0.75,False,False,train,0.2542372881355932,0.1844660194174757
7,1wkm,0.82,False,False,train,0.0884955752212389,0.0769230769230769
8,3k41,0.82,False,False,train,0.0514705882352941,0.0714285714285714
9,4eu3,0.82,False,False,train,0.1568627450980392,0.0602409638554216
10,2w97,0.96,False,False,train,0.0909090909090909,0.0459770114942528
11,1p0y,1.0,False,False,valid,0.0973451327433628,0.0714285714285714
12,2b1r,1.0,False,False,train,0.0444444444444444,0.0613496932515337
13,2d2v,1.0,False,False,train,0.0444444444444444,0.0613496932515337
14,1aw1,1.05,False,False,train,0.15,0.0580645161290322
15,1maw,1.1,False,False,train,0.0932642487046632,0.0871794871794871
16,3fl9,1.11,False,False,train,0.25,0.24
17,5eb2,1.11,False,False,train,0.2523364485981308,0.1938775510204081
18,4lh2,1.24,False,False,train,0.1538461538461538,0.0657894736842105
19,4to8,1.24,False,False,train,0.1568627450980392,0.0602409638554216
20,4fci,1.26,False,False,train,0.0990990990990991,0.075
21,4fck,1.26,False,False,train,0.0990990990990991,0.075
22,4clp,1.27,False,False,train,0.0958083832335329,0.1056338028169014
23,1f9g,1.28,False,False,train,0.1037037037037037,0.0776699029126213
24,1a0t,1.3,False,False,train,0.0484848484848484,0.06875
25,1b74,1.3,False,False,train,0.1149425287356321,0.0617283950617283
26,2fah,1.3,False,False,train,0.1621621621621621,0.0675675675675675
27,5oxm,1.3,False,False,train,0.1451612903225806,0.0601092896174863
28,2igw,1.31,False,False,train,0.2,0.0952380952380952
29,5mnc,1.31,False,False,train,0.2098765432098765,0.2112676056338028
30,5mny,1.31,False,False,train,0.2098765432098765,0.2112676056338028
31,5moo,1.31,False,False,train,0.2098765432098765,0.2112676056338028
32,2vl1,1.35,False,False,train,0.1354166666666666,0.0705128205128205
33,3nm6,1.35,False,False,train,0.0614035087719298,0.0490196078431372
34,1qpb,1.36,False,False,train,0.1038961038961039,0.0638297872340425
35,6k2n,1.36,False,False,train,0.0751173708920187,0.0717488789237668
36,1hty,1.4,False,False,train,0.099009900990099,0.0930232558139534
37,1o4l,1.4,False,False,train,0.1568627450980392,0.0602409638554216
38,1o4m,1.4,False,False,train,0.1621621621621621,0.0675675675675675
39,1o4n,1.4,False,False,train,0.1388888888888889,0.0575539568345323
40,2hdq,1.4,False,False,train,0.1625,0.1145833333333333
41,3eor,1.4,False,False,train,0.1111111111111111,0.1076923076923077
42,3e81,1.43,False,False,train,0.0993377483443708,0.0817610062893081
43,1ozv,1.44,False,False,train,0.0909090909090909,0.072463768115942
44,1utp,1.44,False,False,train,0.2234042553191489,0.1804511278195488
45,5eb3,1.45,False,False,train,0.1293103448275862,0.1176470588235294
46,1tnk,1.49,False,False,train,0.2333333333333333,0.1785714285714285
47,4bh4,1.49,False,False,train,0.0829493087557603,0.0714285714285714
48,5vqe,1.49,False,False,train,0.0567375886524822,0.0806451612903225
49,4lh3,1.52,False,False,train,0.144578313253012,0.0636942675159235
50,5ct1,1.52,False,False,train,0.1707317073170731,0.1041666666666666
51,5ele,1.52,False,False,train,0.0685920577617328,0.0551724137931034
52,3mwe,1.54,False,False,train,0.119047619047619,0.0529801324503311
53,4amw,1.55,False,False,train,0.0633802816901408,0.0884955752212389
54,1iig,1.57,False,False,train,0.1157894736842105,0.0519480519480519
55,3rup,1.57,False,False,train,0.0994475138121546,0.0928961748633879
56,5cs5,1.58,False,False,train,0.096551724137931,0.0946745562130177
57,5ofv,1.58,False,False,train,0.1764705882352941,0.1720430107526881
58,2b1q,1.59,False,False,train,0.0444444444444444,0.0613496932515337
59,1w8m,1.6,False,False,train,0.1416666666666666,0.1860465116279069
60,3itc,1.6,False,False,train,0.1568627450980392,0.0602409638554216
61,2it4,1.62,False,False,train,0.0909090909090909,0.0428571428571428
62,5k5c,1.62,False,False,train,0.1707317073170731,0.1041666666666666
63,1a7t,1.64,False,False,train,0.1231884057971014,0.1830985915492957
64,4d63,1.64,False,False,train,0.0993377483443708,0.0817610062893081
65,1hgj,1.66,False,False,train,0.1118421052631579,0.0802469135802469
66,1rdj,1.66,False,False,train,0.0378787878787878,0.0655737704918032
